Unnamed: 0,works/letters/diaries,value,сокращенный набор (Олеся),перевод (да/нет),из кого,language,date,fin/ver (версии одного произведения),имя из 90-томника,стр начала,стр конца,название дано редакторами (сверять по списку 91 тома),  название,подзагловок дан редактором,дополнение к названию,name (Ника),Толстой / нет,опубликовано при жизни,name status (авторское/редакторское),volume name,check
1019.0,diaries,47,записная книжка,,,,1855-1857 ?,,[ЗАПИСНАЯ КНИЖКА 1855—1857? гг.],169.0,176.0,,ЗАПИСНАЯ КНИЖКА   ,,1855—1857?,,,,,,записная книжка 18551857 гг
1020.0,diaries,47,записная книжка,,,,1856-1857,,[ЗАПИСНАЯ КНИЖКА 1856—1857 гг.],177.0,222.0,,ЗАПИСНАЯ КНИЖКА,,1856—1857,,,,,,записная книжка 18561857 гг
1031.0,diaries,48,записная книжка,,,,1858-1863,,"[Отрывки из Записной книжки № 1, 1858—1863 гг.]",73.0,84.0,х,Отрывки из Записной книжки № 1,,1858-1863,,,,,,отрывки из записной книжки  1 18581863 гг
1032.0,diaries,48,записная книжка,,,,1865-1873,,"[Записная книжка № 2, 1865—1873 гг.]",85.0,103.0,х,Записная книжка № 2,,1865-1873,,,,,,записная книжка  2 18651873 гг
1033.0,diaries,48,записная книжка,,,,1865-1871,,"[Записная книжка № 3, 1865—1871 гг.]",104.0,113.0,х,Записная книжка № 3,,1865-1871,,,,,,записная книжка  3 18651871 гг
1034.0,diaries,48,записная книжка,,,,1865-1872,,"[Записная книжка № 4, 1865—1872 гг.]",114.0,162.0,х,Записная книжка № 4,,1865-1872,,,,,,записная книжка  4 18651872 гг
1035.0,diaries,48,записная книжка,,,,1866-1871,,"[Записная книжка № 5, 1866—1871 гг.]",163.0,165.0,х,Записная книжка № 5,,1866-1871,,,,,,записная книжка  5 18661871 гг
1036.0,diaries,48,записная книжка,,,,1871,,"[Записная книжка № 6, 1871 г.]",166.0,166.0,х,Записная книжка № 6,,1871,,,,,,записная книжка  6 1871 г
1037.0,diaries,48,записная книжка,,,,1868-1879,,"[Записная книжка № 7, 1868—1879 гг.]",167.0,197.0,х,Записная книжка № 7,,1868-1879,,,,,,записная книжка  7 18681879 гг
1038.0,diaries,48,записная книжка,,,,1879-1880,,"[Записная книжка № 8, 1879—1880 гг.]",198.0,307.0,х,Записная книжка № 8,,1879-1880,,,,,,записная книжка  8 18791880 гг
1039.0,diaries,48,записная книжка,,,,1879,,"[Записная книжка № 9, 1879 г.]",308.0,314.0,х,Записная книжка № 9,,1879,,,,,,записная книжка  9 1879 г
1040.0,diaries,48,записная книжка,,,,1879-1880,,"[Записная книжка № 10, 1879—1880 гг.]",315.0,330.0,х,Записная книжка № 10,,1879-1880,,,,,,записная книжка  10 18791880 гг
1041.0,diaries,48,записная книжка,,,,1878-1880,,"[Записная книжка № 11, 1878—1880 гг.]",331.0,331.0,х,Записная книжка № 11,,1878-1880,,,,,,записная книжка  11 18781880 гг
1042.0,diaries,48,записная книжка,,,,1880,,"[Записная книжка № 12, 1880 г.]",332.0,341.0,х,Записная книжка № 12,,1880,,,,,,записная книжка  12 1880 г
1043.0,diaries,48,записки,,,,1863,,"[Запись № 1, 1863 г.]",342.0,342.0,х,Запись № 1,,1863,,,,,,запись  1 1863 г
1044.0,diaries,48,записки,,,,1870,,"[Записи № 2 и 3, 1870 г.]",342.0,346.0,х,Записи № 2 и 3,,1870,,,,,,записи  2 и 3 1870 г
1045.0,diaries,48,записки,,,,1871-1872,,"[Запись № 4, 1871 или 1872 г.]",346.0,346.0,х,Запись № 4,,1871-1872,,,,,,запись  4 1871 или 1872 г
1046.0,diaries,48,записки,,,,1874,,"[Запись № 5, 1874 г.]",347.0,347.0,х,Запись № 5,,1874,,,,,,запись  5 1874 г
1047.0,diaries,48,записки,,,,1877,,"[Запись № 6, 1877 г.]",347.0,349.0,х,Запись № 6,,1877,,,,,,запись  6 1877 г
1048.0,diaries,48,записки,,,,1878,,"[Запись № 7, 1878 г.]",349.0,350.0,х,Запись № 7,,1878,,,,,,запись  7 1878 г
1049.0,diaries,48,записки,,,,1879,,"[Записи № 8—15, 1879 г.]",351.0,369.0,х,Записи № 8—15,,1879,,,,,,записи  815 1879 г
,diaries,49,записки,,,,,,ЗАПИСКИ ХРИСТИАНИНА,7.0,21.0,,,отправлено в. Произведения (works),,,,,,,записки христианина
1058.0,diaries,49,записки,,,,1881,,[ЗАПИСИ НА ЛИСТАХ 1881 г.],135.0,137.0,,Записи на листах,,1881,,,,,,записи на листах 1881 г
1059.0,diaries,49,записки,,,,1881,,[ЗАПИСНАЯ КНИЖКА 1881 г.],138.0,147.0,,Записная книжка,,1881,,,,,,записная книжка 1881 г
1060.0,diaries,49,записки,,,,1881,,[ЗАПИСЬ НА ЛИСТЕ 6 ДЕКАБРЯ 1881 г.],148.0,148.0,,Запись на листе,,6 декабря 1881,,,,,,запись на листе 6 декабря 1881 г
